Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,27p,C_0402_1005Metric,-239.442,45.90505,0.0,bottom
C2,27p,C_0402_1005Metric,-241.602,45.86505,180.0,bottom
C3,100n,C_0402_1005Metric,-244.976998,51.69375,270.0,bottom
C4,100n,C_0402_1005Metric,-241.506998,63.63375,90.0,bottom
C5,1u,C_0402_1005Metric,-245.722,63.64375,90.0,bottom
C6,10u,C_0402_1005Metric,-206.782,54.39505,90.0,bottom
C7,100n,C_0402_1005Metric,-243.826998,51.69375,270.0,bottom
C8,1u,C_0402_1005Metric,-246.762,63.64375,90.0,bottom
C9,100n,C_0402_1005Metric,-233.877,54.53375,180.0,bottom
C10,100n,C_0402_1005Metric,-251.471998,57.61505,90.0,bottom
C11,10u,C_0402_1005Metric,-221.722,57.15505,90.0,bottom
C12,100n,C_0402_1005Metric,-247.221998,60.975,0.0,bottom
C13,100n,C_0402_1005Metric,-247.221998,62.045,0.0,bottom
C14,100n,C_0402_1005Metric,-236.152,60.77005,180.0,bottom
C15,100n,C_0402_1005Metric,-242.532,63.63375,90.0,bottom
C16,1u,C_0402_1005Metric,-226.227,57.185,0.0,bottom
D1,1N4148WT,D_SOD-523,-192.627,100.885,180.0,bottom
EXLED1,YS-SK6812MINI-E,YS-SK6812MINI-E,-181.152,99.8875,0.0,bottom
EXLED2,YS-SK6812MINI-E,YS-SK6812MINI-E,-181.152,80.8375,0.0,bottom
EXSW1,RotaryEncoder_Switch,keyswitch_choc12_hotswap_1u_rotary_encoder_ec12,-181.152,95.15,0.0,bottom
EXSW2,RotaryEncoder_Switch,keyswitch_choc12_hotswap_1u_rotary_encoder_ec12,-181.152,76.1,0.0,bottom
F1,BSMD0603-050-12V,Fuse_0603_1608Metric,-189.681992,109.71125,90.0,bottom
J1,TYPE-C-31-M-13C,TYPE-C-31-M-13C,-179.152,111.11375,180.0,bottom
J2,ST-0277D00-052-142,ST-0277D00-052-142,-176.582,60.50375,90.0,bottom
J3,Conn_01x04,OLED,-181.152,84.03375,0.0,top
LED1,YS-SK6812MINI-E,YS-SK6812MINI-E,-190.462,45.19375,293.88,bottom
LED2,YS-SK6812MINI-E,YS-SK6812MINI-E,-200.202,71.3125,0.0,bottom
LED3,YS-SK6812MINI-E,YS-SK6812MINI-E,-200.202,90.3625,0.0,bottom
LED4,YS-SK6812MINI-E,YS-SK6812MINI-E,-200.202,109.4125,0.0,bottom
LED5,YS-SK6812MINI-E,YS-SK6812MINI-E,-219.252,111.79375,0.0,bottom
LED6,YS-SK6812MINI-E,YS-SK6812MINI-E,-219.252,92.74375,0.0,bottom
LED7,YS-SK6812MINI-E,YS-SK6812MINI-E,-219.252,73.69375,0.0,bottom
LED8,YS-SK6812MINI-E,YS-SK6812MINI-E,-206.982,49.99375,11.939999999999998,bottom
LED9,YS-SK6812MINI-E,YS-SK6812MINI-E,-228.777,52.27375,0.0,bottom
LED10,YS-SK6812MINI-E,YS-SK6812MINI-E,-238.302,76.075,0.0,bottom
LED11,YS-SK6812MINI-E,YS-SK6812MINI-E,-238.302,95.125,0.0,bottom
LED12,YS-SK6812MINI-E,YS-SK6812MINI-E,-238.302,114.175,0.0,bottom
LED13,YS-SK6812MINI-E,YS-SK6812MINI-E,-257.352,111.79375,0.0,bottom
LED14,YS-SK6812MINI-E,YS-SK6812MINI-E,-257.352,92.74375,0.0,bottom
LED15,YS-SK6812MINI-E,YS-SK6812MINI-E,-257.352,73.69375,0.0,bottom
LED16,YS-SK6812MINI-E,YS-SK6812MINI-E,-276.402,68.93125,0.0,bottom
LED17,YS-SK6812MINI-E,YS-SK6812MINI-E,-276.402,87.98125,0.0,bottom
LED18,YS-SK6812MINI-E,YS-SK6812MINI-E,-276.402,107.03125,0.0,bottom
LED19,YS-SK6812MINI-E,YS-SK6812MINI-E,-295.452,107.03125,0.0,bottom
LED20,YS-SK6812MINI-E,YS-SK6812MINI-E,-295.452,87.98125,0.0,bottom
LED21,YS-SK6812MINI-E,YS-SK6812MINI-E,-295.452,68.93125,0.0,bottom
R1,5.1k,R_0402_1005Metric,-186.282,110.46375,270.0,bottom
R2,5.1k,R_0402_1005Metric,-171.992,110.42375,270.0,bottom
R3,1k,R_0402_1005Metric,-242.002,51.40505,180.0,bottom
R4,27,R_0402_1005Metric,-243.596998,63.62375,270.0,bottom
R5,27,R_0402_1005Metric,-244.662,63.62375,90.0,bottom
R6,1k,R_0402_1005Metric,-253.681998,57.605,270.0,bottom
R7,10k,R_0402_1005Metric,-252.581998,57.605,270.0,bottom
rC1,27p,C_0402_1005Metric,-92.201998,45.865,0.0,bottom
